job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry
Site Reliability Engineer,IBM,"Pune, Maharashtra, India",Actively Hiring,2023-04-17 00:00:00,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing
"
            
        Project Manager
      
          ","
            Orci
          ","
            Los Angeles, CA
          ",Actively Hiring,2023-02-14 00:00:00,"
            Associate
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Advertising Services
          "
"Engineering Manager, Blockchain (India)",BitGo,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-10 00:00:00,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services
Counsel - Contracts Solutions GSK - IN,UnitedLex,"Gurgaon, Haryana, India",Actively Hiring,2023-04-16 00:00:00,Full-time,,,
"
            
        Content Writer
      
          ","
            MadHawks
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-28 00:00:00,"
            Entry level
          ","
            Marketing, Public Relations, and Writing/Editing
          ","
          Full-time
        ","
          Advertising Services
          "
Human Resources Generalist,Hello Hire Talent Solutions,"El Segundo, CA","Actively Hiring
           +6�benefits",2023-04-11 00:00:00,Full-time,,,
"
            
        Technical Architect_Neha_Bluebrich_Bangalore
      
          ","
            CodersBrain
          ","
            Bengaluru North, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-28 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          "
"
            
        Senior Data Scientist
      
          ","
            Zupee
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-03-07 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Entertainment Providers
          "
"
            
        Executive Assistant, Octopus Real Estate
      
          ","
            Octopus
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-15 00:00:00,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Financial Services
          "
TypeScript Developer,AutogenAI,"London, England, United Kingdom",Actively Hiring,2023-04-17 00:00:00,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet"
Devops Engineer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-07 00:00:00,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing
Graphic Designer,"YinzCam, Inc.","Pittsburgh, PA","Actively Hiring
           +5�benefits",2023-03-01 00:00:00,Not Applicable,"Design, Art/Creative, and Information Technology",Full-time,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing"
