CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2022,2023,2024
05021,"Clay, AR",340434,370635,359249
05023,"Cleburne, AR",648308,631509,649938
05025,"Cleveland, AR",158466,144467,182162
05027,"Columbia, AR",974357,1022472,1049224
05029,"Conway, AR",755664,727909,770337
05031,"Craighead, AR",5406653,5405510,5563502
05033,"Crawford, AR",1715929,1705541,1744875
05035,"Crittenden, AR",1714499,1717693,1761898
05037,"Cross, AR",447979,478196,457366
05039,"Dallas, AR",227985,241072,247637
05041,"Desha, AR",527637,552556,550270
05043,"Drew, AR",594680,609385,625794
05045,"Faulkner, AR",4212259,4425769,4594326
05047,"Franklin, AR",473504,452237,531817
05049,"Fulton, AR",202630,181238,181126
05051,"Garland, AR",3559755,3620209,3663311
05053,"Grant, AR",437561,451437,479900
05055,"Greene, AR",1457884,1591205,1603557
05057,"Hempstead, AR",1016317,948296,1006115
05059,"Hot Spring, AR",1151952,1152930,1225768
05061,"Howard, AR",661815,608028,692534
05063,"Independence, AR",1902752,1957891,2059585
05065,"Izard, AR",292281,283522,294187
05067,"Jackson, AR",711143,866060,841501
05069,"Jefferson, AR",2880434,2787058,2665308
05071,"Johnson, AR",737570,695902,731296
05073,"Lafayette, AR",146624,138954,171937
05075,"Lawrence, AR",432111,448391,420207
05077,"Lee, AR",174379,179376,185375
05079,"Lincoln, AR",259780,253145,286960
05081,"Little River, AR",510571,511292,543664
05083,"Logan, AR",513054,501163,566645
05085,"Lonoke, AR",1465556,1554371,1574493
05087,"Madison, AR",491727,444738,555734
05089,"Marion, AR",606923,605907,627230
05091,"Miller, AR",1294510,1311959,1333712
05093,"Mississippi, AR",3355787,3540584,3736124
05095,"Monroe, AR",187789,214652,197245
05097,"Montgomery, AR",149944,153456,159614
05099,"Nevada, AR",230928,215394,234242
05101,"Newton, AR",99962,100383,105055
05103,"Ouachita, AR",650493,666835,669901
05105,"Perry, AR",188407,181242,207580
05107,"Phillips, AR",521960,526502,502277
05109,"Pike, AR",280247,270344,299551
05111,"Poinsett, AR",617670,655863,667009
05113,"Polk, AR",592085,590467,654696
05115,"Pope, AR",2925670,3068411,3183342
05117,"Prairie, AR",184266,221463,198964
05119,"Pulaski, AR",30696417,31832954,32536180
05121,"Randolph, AR",518279,520898,564605
05123,"St. Francis, AR",703512,713433,714348
05125,"Saline, AR",2908290,3039969,3091885
05127,"Scott, AR",354575,349184,395480
05129,"Searcy, AR",185987,191402,192224
05131,"Sebastian, AR",6992743,7198616,7356931
05133,"Sevier, AR",539837,516959,596229
05135,"Sharp, AR",404800,391323,447222
05137,"Stone, AR",261620,260446,282752
05139,"Union, AR",2532849,2656699,2595449
05141,"Van Buren, AR",369776,364303,363774
05143,"Washington, AR",13322779,13425472,14125098
05145,"White, AR",2378183,2416613,2537670
05147,"Woodruff, AR",238754,295957,269009
05149,"Yell, AR",671029,618544,701302
06001,"Alameda, CA",148762514,147576503,149073515
06003,"Alpine, CA",102892,109499,115535
06005,"Amador, CA",1599691,1659732,1649007
06007,"Butte, CA",8934657,9375259,9976475
06009,"Calaveras, CA",1377433,1518423,1598733
06011,"Colusa, CA",1486297,1724201,1554879
06013,"Contra Costa, CA",75553609,76030393,76853439
06015,"Del Norte, CA",815386,825824,847242
06017,"El Dorado, CA",8313781,8893620,9003663
06019,"Fresno, CA",46092506,47853165,49888249
06021,"Glenn, CA",1057117,1148405,1117692
06023,"Humboldt, CA",5642946,5615599,5855113
06025,"Imperial, CA",9068820,10007423,10014382
06027,"Inyo, CA",1085919,1200151,1214756
06029,"Kern, CA",44445346,47569571,49752853
06031,"Kings, CA",6820750,6931575,7210907
06033,"Lake, CA",1893379,1956961,2074974
06035,"Lassen, CA",1123777,1118949,1150292
06037,"Los Angeles, CA",785175539,794412003,810842127
06039,"Madera, CA",5998770,6297562,6799065
06041,"Marin, CA",29274868,29379949,29894901
06043,"Mariposa, CA",707862,780471,800084
06045,"Mendocino, CA",3479820,3482526,3589922
06047,"Merced, CA",9486778,9517717,10266145
06049,"Modoc, CA",477083,497808,518676
06051,"Mono, CA",1082296,1165832,1191570
06053,"Monterey, CA",28005898,29117205,29711750
06055,"Napa, CA",10970744,11223179,11313745
06057,"Nevada, CA",4613757,4633300,4810425
06059,"Orange, CA",270055508,271357185,277517685
06061,"Placer, CA",26515618,26187322,26794130
06063,"Plumas, CA",914609,1041011,1136564
06065,"Riverside, CA",97055611,99182409,102469702
06067,"Sacramento, CA",99509227,102275870,106654911
06069,"San Benito, CA",2307877,2337837,2515745
06071,"San Bernardino, CA",101161244,101589331,105151197
06073,"San Diego, CA",256907236,261515685,266924506
06075,"San Francisco, CA",227233465,231879779,233948380
06077,"San Joaquin, CA",33218277,33162700,35064542
06079,"San Luis Obispo, CA",18050829,18192271,19031961
06081,"San Mateo, CA",165505840,179396381,196767358
06083,"Santa Barbara, CA",31796810,32099603,33505043
06085,"Santa Clara, CA",368006717,376220683,399159581
06087,"Santa Cruz, CA",16336594,16162087,16712516
06089,"Shasta, CA",8224773,8708047,9184523
06091,"Sierra, CA",101311,91250,98747
06093,"Siskiyou, CA",1684807,1764020,1766695
06095,"Solano, CA",28444688,28220819,29914870
06097,"Sonoma, CA",30693593,30633099,30869179
06099,"Stanislaus, CA",23622830,23557445,24813761
06101,"Sutter, CA",3960066,4002134,4025128
06103,"Tehama, CA",1975809,2172321,2175398
06105,"Trinity, CA",369370,404799,456212
06107,"Tulare, CA",18226908,18569956,19484144
06109,"Tuolumne, CA",2375246,2648777,2569679
06111,"Ventura, CA",52823407,53192535,55123601
06113,"Yolo, CA",15680986,15428666,15908346
06115,"Yuba, CA",3178188,3479041,3520158
08001,"Adams, CO*",31001079,32311644,33004761
08003,"Alamosa, CO",699423,716587,698903
08005,"Arapahoe, CO",52680392,53716475,54462475
08007,"Archuleta, CO",557426,564873,586428
08009,"Baca, CO",162784,204691,109961
08011,"Bent, CO",119318,143251,133131
08013,"Boulder, CO*",32341073,32934983,33422982
08014,"Broomfield, CO*",9937080,9968030,10004266
08015,"Chaffee, CO",906973,958762,990516
08017,"Cheyenne, CO",263275,319708,291522
08019,"Clear Creek, CO",472597,582305,478465
08021,"Conejos, CO",172127,195705,188534
08023,"Costilla, CO",79274,87730,95973
08025,"Crowley, CO",98157,120186,135167
08027,"Custer, CO",160187,165033,171739
08029,"Delta, CO",909254,901111,924849
08031,"Denver, CO",96919383,102081239,104064585
08033,"Dolores, CO",103333,96269,88174
08035,"Douglas, CO",23534017,24462607,25204322
08037,"Eagle, CO",4927871,5096577,5267447
08039,"Elbert, CO",698200,749245,809141
08041,"El Paso, CO",41050360,42792291,43989388
08043,"Fremont, CO",1508434,1549532,1588785
08045,"Garfield, CO",3670493,3780023,3831291
08047,"Gilpin, CO",712885,721239,757843
08049,"Grand, CO",1087974,1133576,1218516
08051,"Gunnison, CO",1208500,1158891,1153789
08053,"Hinsdale, CO",42582,44752,43245
08055,"Huerfano, CO",223206,250881,252519
08057,"Jackson, CO",101594,138282,140602
08059,"Jefferson, CO*",35722129,36632200,37106170
08061,"Kiowa, CO",73123,102812,86821
08063,"Kit Carson, CO",467581,543804,493117
08065,"Lake, CO",338827,322779,404340
08067,"La Plata, CO",3142491,3229075,3280060
08069,"Larimer, CO",22430362,22368758,22617976
08071,"Las Animas, CO",500727,509711,500723
08073,"Lincoln, CO",378223,406952,389454
08075,"Logan, CO",1044025,1114624,1093941
08077,"Mesa, CO",7236011,7263912,7454851
08079,"Mineral, CO",73492,72448,73698
08081,"Moffat, CO",1060541,986961,920077
08083,"Montezuma, CO",1276694,1247790,1188499
08085,"Montrose, CO",1759783,1758011,1849394
08087,"Morgan, CO",1496526,1570479,1598419
08089,"Otero, CO",546356,574196,568314
08091,"Ouray, CO",240429,224766,226866
08093,"Park, CO",445919,480373,532097
08095,"Phillips, CO",227751,248613,193493
08097,"Pitkin, CO",2785120,2865837,2935059
08099,"Prowers, CO",464745,529690,479594
08101,"Pueblo, CO",6491018,6831120,6868520
08103,"Rio Blanco, CO",496731,579183,566322
08105,"Rio Grande, CO",414623,459646,429941
08107,"Routt, CO",2250872,2202490,2257117
08109,"Saguache, CO",161953,190078,162612
08111,"San Juan, CO",41250,42010,43954
08113,"San Miguel, CO",850814,814271,819644
08115,"Sedgwick, CO",91019,89772,74155
08117,"Summit, CO",3067876,3169614,3302135
08119,"Teller, CO",952227,1007662,970330
08121,"Washington, CO",202408,199986,142413
08123,"Weld, CO*",19472810,22991875,24480489
08125,"Yuma, CO",428949,475129,461760
09001,"Fairfield, CT*",92939780,94400577,(NA)
09003,"Hartford, CT*",85758198,86770206,(NA)
09005,"Litchfield, CT*",8887970,8473846,(NA)
09007,"Middlesex, CT*",10081202,10386150,(NA)
09009,"New Haven, CT*",51890170,52649723,(NA)
09011,"New London, CT*",19521255,19907199,(NA)
09013,"Tolland, CT*",5369121,5564826,(NA)
09015,"Windham, CT*",4904983,5088568,(NA)
09110,"Capitol, CT*",(NA),(NA),88946536
09120,"Greater Bridgeport, CT*",(NA),(NA),27209614
09130,"Lower Connecticut River Valley, CT*",(NA),(NA),12908053
09140,"Naugatuck Valley, CT*",(NA),(NA),26812846
09150,"Northeastern Connecticut, CT*",(NA),(NA),4355057
09160,"Northwest Hills, CT*",(NA),(NA),5184662
09170,"South Central Connecticut, CT*",(NA),(NA),40204020
09180,"Southeastern Connecticut, CT*",(NA),(NA),19316257
09190,"Western Connecticut, CT*",(NA),(NA),61223022
10001,"Kent, DE",8652805,8588182,9069233
10003,"New Castle, DE",56638956,56713814,58412908
10005,"Sussex, DE",15826363,16790232,17867776
11001,"District of Columbia, DC",143050800,143179241,145087985
12001,"Alachua, FL",15670816,16110114,16456777
12003,"Baker, FL",740598,739793,801544
12005,"Bay, FL",9812473,10218670,10440780
12007,"Bradford, FL",670870,699192,729440
12009,"Brevard, FL",31676923,33657805,35095914
12011,"Broward, FL",127700081,133360002,136649542
12013,"Calhoun, FL",308998,357408,384202
12015,"Charlotte, FL",6512049,7192058,7566912
12017,"Citrus, FL",4902954,5327664,5395130
12019,"Clay, FL",6255327,6690211,7086382
12021,"Collier, FL",24257787,26291544,27820258
12023,"Columbia, FL",2454901,2614106,2699486
12027,"DeSoto, FL",1010093,1105843,1100173
